Author,Date,Text
Liza,2019-11-17 20:32:40,Love thispic.twitter.com/D074GcgZnV
Strive Since 06,2019-11-17 20:31:20,*Translate Tweet*
𝓎𝒶𝓏𝓂𝒾𝓃 𝓉𝒶𝓅𝒾𝒶.♡,2019-11-17 20:30:52,@DrakeBell REAL.  pic.twitter.com/CtUyJDIdqE
𝒓𝒆𝒃𝒆; FLAMES -179 no va a ver a harry,2019-11-17 20:30:51,.@DrakeBell i love you please respond
Theressa Aguirre,2019-11-17 20:30:05,@DrakeBell so true  pic.twitter.com/arsBIyX5wn
Alejandro ค้้้,2019-11-17 20:30:01,Grande crack. 10/10
Andre [-18 SM]◟̽◞̽,2019-11-17 20:29:17,Che sale stannear a Drake Bell?
Ms. Messy Hair,2019-11-17 20:29:16,Its happening
.,2019-11-17 20:29:15,Cute
a n. a,2019-11-17 20:29:07,intelectual
Karliss,2019-11-17 20:28:12,Te amo Drake Bell
;,2019-11-17 20:28:03,Stan Drake Bell
Annel Horan Irwin,2019-11-17 20:28:02,Al fin 
Jeonnie,2019-11-17 20:27:29,idbxidbsisd te amooo
Naya,2019-11-17 20:27:08,“North America is a continent” really? 
kamila; ˡᵒᵛᵉˢ ᵐⁱˡⁱ,2019-11-17 20:26:50,Yo opino que stan drake bell https://twitter.com/DrakeBell/status/1196154052460941317 …
Jany,2019-11-17 20:26:47,Achis achis los mariachis 
mb,2019-11-17 20:26:40,Bien Taco Drake
Mi.El,2019-11-17 20:26:36,Genial!
Fer ~XXIII~ 👑,2019-11-17 20:26:19,I stan @DrakeBell  Te amo
The world is ugly but you are beautiful to me,2019-11-17 20:25:40,Genial!!!
Inés MS,2019-11-17 20:25:35,Drake Bell! 
Gaston Corona,2019-11-17 20:25:06,"You found a way, you found a way"
𝑱𝒐𝒂. ◟̽◞̽ ❄ 𝑽𝑰 𝑨 𝑵𝑶𝑼𝑰𝑺 💕,2019-11-17 20:25:00,We eres 1 amor 
DOXIS,2019-11-17 20:24:46,Do you chup?
Daniel Gonzalez,2019-11-17 20:24:25,"North America is not a continent, America it's a continent
NA Is just something like a division? A region"
🌮Taquitoalpastor🌮,2019-11-17 20:21:50,Jaja you are the strong woman mole
Jessalazarp,2019-11-17 20:21:43,¿Neta crack?
Isaac,2019-11-17 20:20:21,El drake bien whitecican
El Gamez,2019-11-17 20:19:43,Excelso
d a v i d,2019-11-17 20:19:42,what?
in luv,2019-11-17 20:19:26,"""I know north america is a continent""

QUE SI QUIERE BOLSA"
Franco,2019-11-17 20:19:18,Don't forget about your nigga fans
Takeruhi,2019-11-17 20:17:53,Donde
Patita de perro,2019-11-17 20:17:40,"North America is not a continent either my dear. America is a continet, North America is a part of the whole continent. United States is your country. You are welcome!"
Diego Red,2019-11-17 20:17:28,"People who only speak in English: [angery]

Drake Bell: Oye, tranquilo viejo"
Lil Guest,2019-11-17 20:16:55,Pongase Dragon Bell
Vic ☔🇻🇪,2019-11-17 20:16:38,We stan Drake Bell https://twitter.com/DrakeBell/status/1196083107671068672 …
ℬ𝓁𝒶𝓇𝒾𝒶𝒹𝓃ℯ𝒷𝓁 loves CAT 11/19 y 23/11♡,2019-11-17 20:15:14,DRAKE BELL TE AMO
𝕄𝕚 𝕡𝕣𝕚𝕖𝕥𝕒 𝕝𝕚𝕟𝕕𝕒,2019-11-17 20:15:09,Arre
Fernando Islas,2019-11-17 20:14:44,Te mereces mi follow 
Sophia Gonzales,2019-11-17 20:14:41,Al fin 
𝐥𝐚𝐫𝐚 思成,2019-11-17 20:14:19,Grande drake
UnRojiblancoMas,2019-11-17 20:13:07,drake bell mas grande que tigres
Mafer BN,2019-11-17 20:12:19,I love u 
El Meme ©️♓™️,2019-11-17 20:11:58,No mamestl Drake Bell https://twitter.com/DrakeBell/status/1196083107671068672 …
이한미,2019-11-17 20:11:32,why are you so obsessed with us
LaCaprichosaa 💋,2019-11-17 20:09:08,Good thing que yo soy bilingual 
José Manuel,2019-11-17 20:09:01,Love you 
Bruno Pérez,2019-11-17 20:08:18,Gracias Drake
WOW! Stars!,2019-11-17 20:07:14,Drake Bell — MIA https://ift.tt/2KwQ9jj 
Comentario Anónimo,2019-11-17 20:06:52,"Justine, really check a map, north america is NOT a continent, North, Central and South all are one continent, América, this is elementary school"
Ruben2002,2019-11-17 20:05:19,Chale
Holapendejo,2019-11-17 20:05:07,Wttff
Rykardo Rmz,2019-11-17 20:04:32,That is not my job.
Ilhuicamina,2019-11-17 20:04:24,"The United States is ONE COUNTRY, america is a CONTINENT, WE ARE ALL AMERICANS, because we live on the continent of AMERICA, you are the United States of America, we are the United States of Mexico (commonly known as Mexico) WE ARE ESTUNIDENSES, I hope you understand the differen"
WOWone,2019-11-17 20:04:15,Drake Bell — MIA https://ift.tt/2KwQ9jj 
Skrtz,2019-11-17 20:04:12,But not in continents XD
블란카♡. 🇲🇽,2019-11-17 20:03:05,This.
Conchita;🌴,2019-11-17 20:02:46,I STAN
Hugo Soria ✊🏻,2019-11-17 20:01:48,"Tranquileishon morreishon, Drake solo está bromeandeishon 

relax friend! it's just a joke"
#원호탈퇴반대,2019-11-17 20:01:44,Aguante drake
AstroKiD,2019-11-17 20:01:33,Thats whats up
Carlos on fire 🔥,2019-11-17 20:01:20,Amamos a drake bell
Luis V,2019-11-17 20:00:52,"Nice choice carnal!!!
"
Sushy,2019-11-17 19:59:20,Hola Drake 
ALEXIS SANCHEZ,2019-11-17 19:59:17,Genial...
Pamela García,2019-11-17 19:58:23,I teach you :)
𝔤𝔦𝔤𝔲 ˘͈ᵕ˘͈ au yungi,2019-11-17 19:57:16,stan ateez
🌬,2019-11-17 19:56:46,"On tas, drake?"
Jenn Ar,2019-11-17 19:56:35,Darling  mexicans are Americans. You need study more.
Pao,2019-11-17 19:56:06,"I think is a good idea, you can learn together and we can help if you want"
Hᥲnss,2019-11-17 19:55:51,"And los gringos, what chingaos are they pintaos o k?"
𝓯𝓮𝓻 𝓱𝓵 ||ғɪɴᴇ ʟɪɴᴇ ɪs ᴄᴏᴍɪɴɢ||,2019-11-17 19:55:43,We love you 
El q an dava rresando,2019-11-17 19:55:09,Omfg marry me
Pedro Gomez,2019-11-17 19:54:37,"As a mexican I can tell you we all love you too, 
Drake mi hermano youre a mexican now"
.𝕷𝖔𝖘𝖙&𝕱𝖔𝖚𝖓𝖉.,2019-11-17 19:54:36,Con Drake Bell.
Damon_Slaid,2019-11-17 19:54:26,You're amazing
𝐃𝐢𝐚𝐧𝐚 𝐒𝐚́𝐧𝐜𝐡𝐞𝐳,2019-11-17 19:53:57,STOP ATTACK @JustineLee1993 she is SO cute!
Isabelástica✡,2019-11-17 19:53:49,"Then English speakers has been rude with the rest of people who speaks another language just saying ""learn English""?"
Lenin Josue Mejia,2019-11-17 19:53:48,Excelente drake.
Angel,2019-11-17 19:53:36,Grande @DrakeBell
"I'm emo, so what?",2019-11-17 19:53:29,Exactly. THANK U!!! 
𝓯𝓮𝓻 𝓱𝓵 ||ғɪɴᴇ ʟɪɴᴇ ɪs ᴄᴏᴍɪɴɢ||,2019-11-17 19:51:56,Mexico loves you 
Dany Jaimes Lee,2019-11-17 19:50:39,@DrakeBell  Do it please!
I’m Toxic,2019-11-17 19:50:00,Drake Bell is my animal spirit pic.twitter.com/6MHdDdDgxz
mariananna,2019-11-17 19:49:11,Moodpic.twitter.com/JwqgCAu3HF
🌻𝕄𝕠𝕔𝕙𝕚🌻,2019-11-17 19:49:08,"Hey, Drake, if you want Mexican nationality, I can marry you 
@DrakeBell"
$ONiDO PARi$ i$FEL,2019-11-17 19:48:55,Genial 
Zirani Chacon,2019-11-17 19:48:53,Somos familia Drake
Juan Carlos Romer,2019-11-17 19:48:45,I love You :3
Brandon Allan,2019-11-17 19:47:48,I agree we are a fandom where we all come together to support each other let’s all unite and defend each other and help each other not attack
Carlos MacClesh,2019-11-17 19:47:46,"It's NOT about being ""politically"" correct... it's about being ""geographically"" correct. But yeah, I think ppl coming down on you way too hard. No es para tanto "
NiaMedusa,2019-11-17 19:47:37,Even if it was a joke you should try to speak and tweet in Spanish more oftenly so that you can get better every time (;
yami -5 #Conexión,2019-11-17 19:47:07,"@DrakeBell i can be your friend and teach you spanish, what do you think?"
Amanda ✨,2019-11-17 19:46:47,"Latin fans learned English, now it's your turn"
Paulina 💗,2019-11-17 19:46:32,We love you too! 
Sara ! 🇨🇴,2019-11-17 19:46:31,"Well if he want to speak Spanish in his account, why not? And maybe you could learn spanish if you want to understand what he says. It inspires you in an amazing way"
REBECA J.H,2019-11-17 19:46:16,English speaking fans:pic.twitter.com/6P9ypL7e4R
Alejandro.,2019-11-17 19:46:00,"Nadie:
Drake Bell: https://twitter.com/DrakeBell/status/1196083107671068672 …"
Rafa Arellano,2019-11-17 19:45:56,Chingon 
Rebeca,2019-11-17 19:45:38,"WHAT, I mean QUE"
juan welding esquive,2019-11-17 19:45:36,"that’ll be something which strengthen our relation and will make it way too better.
QUE VIVA MÉXICO!"
juan welding esquive,2019-11-17 19:45:28,"this as an example to encourage us to do exactly the same thing and start to learn his language or keep on learning it as we’ve been doing, just as Drake let’s be open and willing to understand and embrace his culture as he’s doing it with us,"
juan welding esquive,2019-11-17 19:45:10,"All right guys, it’s definitely a good thing the good news that Drake has decided to take so much into account Mexico as to propose himself to learn our language but I think we shouldn’t take this as an excuse for us to stop trying learning English, instead I think we should take"
Beto C Villanueva,2019-11-17 19:45:09,"Actually love, north America is just the northern part of a continent called #America"
cesi,2019-11-17 19:44:16,period king
𝐃𝐢𝐚𝐧𝐚 𝐒𝐚́𝐧𝐜𝐡𝐞𝐳,2019-11-17 19:44:15,And we love YOU
𝐃𝐢𝐚𝐧𝐚 𝐒𝐚́𝐧𝐜𝐡𝐞𝐳,2019-11-17 19:42:55,But you Speak Spanish SO perfect!
Tamargo Rens,2019-11-17 19:42:01,If you have one leg. Have you a pant or pants?
Larissa ⚡️,2019-11-17 19:41:39,Justine is a kind person do not atack her!!
𝖊𝖒𝖕𝖆𝖓𝖆𝖉𝖎𝖙𝖆,2019-11-17 19:40:32,IntelectuAl
ᗯIᒪᑕᕼEᔕ⚡️,2019-11-17 19:38:45,"America is a continent, not only North America dummie"
xndrx,2019-11-17 19:38:05,"Your turn @mishacollins. Your ""valientes aguacates"" are waiting for you."
♡ nine or none,2019-11-17 19:37:38,Intelectual
Wendy García,2019-11-17 19:36:54,Te amo drake bell lopez
Alicia,2019-11-17 19:36:47,Genial..
Angel Enriquez,2019-11-17 19:36:41,Drake hermano...
César Fernández,2019-11-17 19:36:38,Crack
Poly 🌸,2019-11-17 19:36:17,Eres con madre Drake
ᴀʀɪᴀɴɴʏ ʙᴜᴇɴᴏ ♡ 🇩🇴,2019-11-17 19:36:11,North America includes Mexico and i don’t know if u know but in Mx  people speak  Spanish
dnice,2019-11-17 19:36:01,Plot twistpic.twitter.com/EUFghpye7q
GKangy04,2019-11-17 19:34:55,Drake eres un tremendo crack
Bet Sykes Rules,2019-11-17 19:33:27,Te amamos Drake Bell
🍂,2019-11-17 19:32:45,k dicess
Gianni,2019-11-17 19:32:43,24hs speaking spanish challenge?
jazmín ✰ ྀ.*,2019-11-17 19:32:38,te amp
Carlos Jose,2019-11-17 19:32:28,Genial
Deker,2019-11-17 19:31:03,"""North America is a continent"" xdddddddddd"
Ariana Vega,2019-11-17 19:30:49,Gracias Drake!
Una Tipa Cualquiera,2019-11-17 19:30:48,"Again the same mistake o lo q es lo mismo y vuelve la burra al trigo! Wey, dude, America Is a continent, North america Is a part of this continent, please Google it!"
MARIO BROSSS,2019-11-17 19:29:58,Oh yeah!!!! 
Valery,2019-11-17 19:28:59,genial 
Sergio Enrique,2019-11-17 19:28:33,Awebo
Alan,2019-11-17 19:27:36,Nice mkt strategy 
Gata apendejada,2019-11-17 19:27:24,North America is not a continent. AMERICA is the continents and north america is just a part of it. It's a REGION not a CONTINENT. ;)
MontseVentosa,2019-11-17 19:26:51,"North America isn’t a continent, America is"
cristel,2019-11-17 19:26:44,But North America is not a continent..
𝒱𝒶𝓁𝑒𝓃𝓉𝒾𝓃𝒶 𝐵𝑜𝓉𝒾́𝒶 𝒜.,2019-11-17 19:26:41,"A funny things is, for example in Colombia when we are just kids at school they teach us that you and I are from the same continent named America. And google says the same thing"
Andrea,2019-11-17 19:25:51,Ese Drake
IVAN LA MOLE,2019-11-17 19:25:50,Dont hit the strong Woman ( no le pegues ala mamada)
Diuz Mond🧔🏽⚡🌙,2019-11-17 19:25:39,@DrakeBell your new ID is ready!!! Bienvenido!!!
Rulo Barronni,2019-11-17 19:24:47,You should know América is from Groenlandia to Argentina.
♡❝ᴍɪɴʟᴜᴢ❞♡,2019-11-17 19:24:28,Weee te amo
Mr J,2019-11-17 19:23:24,What do you mean there is not south and north? The compass exists my friend..
Juan Esnaola,2019-11-17 19:23:17,Stop being such a crybaby or like we say in my country: terrible trolo
Nimi Bunny,2019-11-17 19:23:09,"North America is not a continent, America it is....just like your ignorance"
Julián Robledo,2019-11-17 19:22:48,Drake Bell > Evo Morales. https://twitter.com/kariicampos099/status/1196084357489930240 …
𝙎𝙤𝙛𝙞𝙖. 𑁍,2019-11-17 19:22:26,"I love @DrakeBell for now wanting to get all his social media on Spanish! Whenever he comes back to Mexico , I can assure you I’ll buy him a lot of tacos."
Rousse osuna jackson,2019-11-17 19:22:18,Te amo drake welcome to mexico  @DrakeBell
Pam Gmz,2019-11-17 19:21:48,"North America is not a continent...
America is a Continent, US is a country."
ᴍᴇʏ✰,2019-11-17 19:21:46,"Girl, North America isn't a continent..."
Eliab Rod,2019-11-17 19:20:33,"Shut up, hug giver"
Patricia Araujo,2019-11-17 19:20:16,Eres top
Daniela V☀️,2019-11-17 19:20:09,Amo a Drake Bell
Jaz🍉,2019-11-17 19:19:59,Hey I think you should do like drake bell pic.twitter.com/OEVsAbcZ9f
Spiral,2019-11-17 19:19:51,Yo what do you think about the COUP in Bolivia?
Diilauraah,2019-11-17 19:19:27,Ohie sy 
☃️✨ Link✨☃️,2019-11-17 19:18:58,Btw this Is Americapic.twitter.com/u5PIIOylR4
Aris🌙,2019-11-17 19:18:02,"I’m gonna say this in english so you can understand: North America is not a continent, the continent is AMERICA and involves every single country from Canada to Argentina, so please learn some geography also. Besitos"
brad pitt's cum sock,2019-11-17 19:17:55,bilingual king
iitsale,2019-11-17 19:17:54,Omg crack
🥰Maleficent 2.0 🥰 🇺🇸🇩🇴🇻🇪,2019-11-17 19:17:34,Exactamente! Lol
Dante Cardoza,2019-11-17 19:17:19,"He’s ours now, sorry guys, @DrakeBell pic.twitter.com/M7wUBhytX4"
M.H 👑💎⚽,2019-11-17 19:16:17,Donde anda Josh ?
Jheysson Archila,2019-11-17 19:15:37,America isn’t a country. Is all the continent!
¡Qué Cabrón!,2019-11-17 19:14:55,Mexicans are also Americans honey 
Dania,2019-11-17 19:14:51,¿Evo y Drake Bell ya son roomies?
marie |-/,2019-11-17 19:14:37,i'm suddenly a drake bell fan
Pejelo,2019-11-17 19:14:37,"Grandioso crack, Drake pic.twitter.com/0AhODHslek"
Vibe Egk,2019-11-17 19:14:25,"América is an only one continent, please, don't feel that América is only for  the people who live's in USA"
La momia azteca ☠,2019-11-17 19:13:12,Drake Latino Bell https://twitter.com/DrakeBell/status/1196083107671068672 …
Sand Martínez,2019-11-17 19:12:35,The beautiful diference between u and other artist is that you're learning your fans languaje and fans must to learn the artist languaje.  Regresa pronto a México 
Emma Mullis,2019-11-17 19:12:29,I’m not Drake Bell
Ignacio Saborío,2019-11-17 19:12:15,America =/= United States
Roran_Wolf,2019-11-17 19:12:05,Is Roberto Roboto behind this? 
Damaris Meza Contreras,2019-11-17 19:11:39,We mexicans are also americans pendeja
V. 💀,2019-11-17 19:11:37,"@DrakeBell i teach you more spanish, i'm more mexican than a taco!!!!  And i'm your fan  pic.twitter.com/fhv5XLDBta"
Licra,2019-11-17 19:11:31,Drake bell number one
Maya.Un Artista Siendo Feliz.0723🖤💋,2019-11-17 19:10:43,im mexican and american too
잘생긴 토끼,2019-11-17 19:09:59,bruh drake bell is a mood
Guillermo 🎸🎮🍔,2019-11-17 19:08:05,Que crack
Lily 🌸,2019-11-17 19:05:56,"No, chingatumadre Justine."
jorge🔰,2019-11-17 19:05:08,@DrakeBell you're invited to the carne asada anyday! https://twitter.com/tvtelehit/status/1194800013156720640 …
Skrtz,2019-11-17 19:04:03,There isnt a real South or North America Is only America so yeah Is like saying south Europe there Is only one 
✨ChingaTuPito✨,2019-11-17 19:03:50,"Fans gringos: don't forget about us

#Drake: pic.twitter.com/EcRFF1O6Gf"
annu,2019-11-17 19:03:30,Yupi
Carlos Carrillo San.,2019-11-17 19:03:01,Crack
ηєσηєyєs łσѵєs тyłєя,2019-11-17 19:02:29,voy a empezar a stannear a Drake Bell
Suridday.,2019-11-17 19:02:08,"Just a joke, hahaha.  Mexico lo ves you @DrakeBell pic.twitter.com/KvXI8kGFGZ"
Mak Nva (민윤기Ánima) 🇦🇷,2019-11-17 19:02:07,In latinoamerica we have to translate everytime somebody write something now why it will be a problem for english speakers translate something
Diego marcus,2019-11-17 19:01:56,"So, now i write only in inglish :u"
M A R I S O L,2019-11-17 19:01:30,Same
igna octtinger,2019-11-17 19:01:25,So you speak taco?
¤,2019-11-17 19:01:16,"wena, wena, Drake"
Dhvani// STREAM CHECKLIST Out Now⚡️,2019-11-17 19:00:04,Omg drake 
𝐈 𝐝𝐢𝐝 𝐬𝐨𝐦𝐞𝐭𝐡𝐢𝐧𝐠 𝐛𝐚𝐝.,2019-11-17 18:59:47,IMPOSIBLE NO AMARTW
goth moth,2019-11-17 18:59:08,Great! Then you’ll have no problem learning spanish :D
Blue,2019-11-17 18:59:03,DRAKE BELL YOU'RE THE BOSS https://twitter.com/DrakeBell/status/1196083107671068672 …
alex-Baik,2019-11-17 18:58:32,Drake come to torreon
Daniel Briseño,2019-11-17 18:58:22,Genial :D
•〰️• Esperanza Ye Ye,2019-11-17 18:58:21,what happen with Drake Bell?  He is the best singer who has fallen in love with Mexico ever https://twitter.com/drakebell/status/1196083107671068672 …
leonor valentina,2019-11-17 18:58:15,Genial 
Karyhina,2019-11-17 18:57:11,Mexicans we are american too
K Money💥,2019-11-17 18:56:58,Confidence level: Drake Bell
Elier,2019-11-17 18:56:29,Drake Bell es mi presidente pic.twitter.com/LiKTXmfoX9
Ale Hernandez,2019-11-17 18:56:25,@Harry_Styles you shoud be Drake’s friend 
Leksito,2019-11-17 18:56:04,F bro
Mafeeer,2019-11-17 18:55:36,"After months of dissapear from tw, am back bc @DrakeBell is fucking amazing, te amo Drakeeee"
🇲🇽[[🌟Clarence🌟 ]] [💜🖤💜🖤]🇲🇽,2019-11-17 18:55:03,Te amo Drake Bell
Nikolas,2019-11-17 18:54:33,GRACIAS DRAKE
KEIGO TAKAMI LOVES ENJI TODOROKI,2019-11-17 18:54:06,"Nah it's not that you aren't politically correct. Your comment was just dumb and Drake is right. People everywhere that have a language other than English as their main, learn English to understand our idols. What about North America & UK learn another language for once?"
aime,2019-11-17 18:54:04,"my biggest regret in life was not asking Drake Bell to say “oye, tranquilo viejo” when i met him "
🥰Maleficent 2.0 🥰 🇺🇸🇩🇴🇻🇪,2019-11-17 18:53:23,I didn’t insult you personally. I said this is a dumb argument because it is. 
Jessica but with a Y,2019-11-17 18:52:49,Why you speaking Japanese bro?
🥰Maleficent 2.0 🥰 🇺🇸🇩🇴🇻🇪,2019-11-17 18:52:26,The country’s name is United States. Because it first started as different states (countries) that decided to unify under one law (Federal). The “of America” came to make a difference from others. But... what would you know.
Skrtz,2019-11-17 18:52:24,Bruh don't need to insult why you have to be mad? XD
Aldo,2019-11-17 18:51:24,"Ya vente, please "
Warith Al Ghul,2019-11-17 18:51:18,Well Spanish is the most common language in America :3 so he's thinking about all of them
ʜᴏʙɪ,2019-11-17 18:50:52,WHAT IN HELL IS THIS IM AKDJLALALLDNSKSNALLANDJDBÑ
Daiana Gonzales,2019-11-17 18:50:41,"Girl, I'm american too, I'm from Argentina."
🥰Maleficent 2.0 🥰 🇺🇸🇩🇴🇻🇪,2019-11-17 18:49:55,That’s the most stupid argument a person can have. Lol. But obviously it makes sense to you! Lmao
valentina🌸,2019-11-17 18:49:41,Eso Drake
diego morales,2019-11-17 18:48:22,Yes very good
sophi ✨,2019-11-17 18:46:57,I’m Latina but I don’t understand Spanish 
R.A. Cruz,2019-11-17 18:46:03,OMG! :o
kindsay,2019-11-17 18:45:39,Hi drake!
🥀🖤✨,2019-11-17 18:45:26,OMFG 
Magda Montero,2019-11-17 18:45:12,Genial 
MM🌞,2019-11-17 18:45:10,"Nobody talks if they are bilingual. We are talking about the American continent, from Canada to Patagonia. the word ""Americans"" is misused, you should have written ... ""Drake don't forget your English speaking fans"""
Sarai grimes,2019-11-17 18:44:49,Love you uwu
Alejandra M.M,2019-11-17 18:44:34,A wee
Laker Garcia,2019-11-17 18:43:45,North America is part of a huge continent. Learn geography.
Jaggers🕹🇺🇸,2019-11-17 18:43:34,When Drake Bell knows Spanish way more than Beto Ororke or however his name is spelled
Melissa,2019-11-17 18:42:52,Cool
Carlos Jaramillo,2019-11-17 18:41:19,Grande Drake pic.twitter.com/1EDT3En8i5
¡karla!,2019-11-17 18:41:07,do i love drake bell? yes https://twitter.com/DrakeBell/status/1196083107671068672 …
Mayra Márquez,2019-11-17 18:40:12,I love you
Skrtz,2019-11-17 18:40:08,"Read above dude, united States of America = AMERICANS BRUH"
𝔍𝔬𝔞𝔮𝔲𝔦́𝔫🤠,2019-11-17 18:40:02,Me gustan los pitos grandes = I like your eyes princess
cesar ivan,2019-11-17 18:39:42,Asiespic.twitter.com/S5nqHaLdHP
🥰Maleficent 2.0 🥰 🇺🇸🇩🇴🇻🇪,2019-11-17 18:38:59,You’re preference doesn’t make it right! It doesn’t make the term Americans unique to the people from the US. Stop the non sense!
Michael Epp,2019-11-17 18:38:44,What
𝕋𝕙𝕖 𝕂𝕚𝕕 𝔽𝕣𝕠𝕞 𝕐𝕖𝕤𝕥𝕖𝕣𝕕𝕒𝕪,2019-11-17 18:38:17,"North America is not a continent, btw. "
Elihu Carrillo,2019-11-17 18:38:13,"America is a continent, not a country, and most Americans speak Spanish"
🥰Maleficent 2.0 🥰 🇺🇸🇩🇴🇻🇪,2019-11-17 18:38:05,"No boo, you are lol"
🥰Maleficent 2.0 🥰 🇺🇸🇩🇴🇻🇪,2019-11-17 18:37:02,Omg that’s it! Me enamore otra vez de @DrakeBell  https://twitter.com/drakebell/status/1196083107671068672 …
Ángel González,2019-11-17 18:37:00,i teach spanish to who teach me english hahaha
Plinio Magaña 🇲🇽,2019-11-17 18:36:49,Speak Mexican please
Skrtz,2019-11-17 18:36:43,Why so mad
P a c o,2019-11-17 18:36:21,GENIAL
50trends Mexico,2019-11-17 18:36:04,"[ Trending Topics MX 12:30 ]
 =>  Drake Bell
 =>  Verstappen pic.twitter.com/B3Ya78ZXcS"
Desi.🐈,2019-11-17 18:35:51,yes yes yes te amo 
Squalor_Madcrash,2019-11-17 18:35:47,We all love you here in Mexico. You're an icon for our country.
Raquel ✨,2019-11-17 18:35:43,Drake Bell para presidente https://twitter.com/DrakeBell/status/1196083107671068672 …
⚜️Luz y Libertad América del Sur,2019-11-17 18:35:23,Follow Me
mrs. bluesky,2019-11-17 18:34:33,gracias Drake pic.twitter.com/dce7RMgBfF
MAwy,2019-11-17 18:34:30,Crack
•ғгαηαтιςα ♡,2019-11-17 18:34:22,Drake Campanas 
pau con p de STREAM LIGHTS UP,2019-11-17 18:33:37,"North America is not a continent, wtf."
Santiago Mora,2019-11-17 18:32:53,@LuisitoComunica Crick
Cucaraña 🕸,2019-11-17 18:32:14,"North America is not a continent... Please when you come back to school to learn spanish, take some Geography lessons too "
◜𝑁𝑒𝑠𝑠𝑎 ◞,2019-11-17 18:32:12,Drake Bell Mood; https://twitter.com/drakebell/status/1196083107671068672 …pic.twitter.com/gHgVVkd0zS
lin✰,2019-11-17 18:30:39,stan Drake Bell
𝒜𝓁ℯ'✦,2019-11-17 18:30:31,"Come back soon, baby! You're always be one of my favs!! Let's eat tacos "
Jim,2019-11-17 18:30:01,Hey girl. America is a whole continent. Not just the us and canada. Learn spanish and geography.
Pepinillo Zobala,2019-11-17 18:29:40,Lol it is like a Telenovela xD
Cordelia Northwest,2019-11-17 18:29:13,"Cool, I'm gonna get known español better"
Yup,2019-11-17 18:29:02,"AMERICA is a continent, and it is divides in four: North America, South America, central America and the caribean islands. USA is located in North America, so please inform yourself that your country isn't a continent ."
Pau,2019-11-17 18:28:39,Genial!
Marco Jaén Salas,2019-11-17 18:28:23,Genial!!!!!! 
Karly👺,2019-11-17 18:27:28,How does it feel to say which United States is a continent?
fabiana,2019-11-17 18:27:23,an icon
Isaac Landa.,2019-11-17 18:27:20,Aweboooooo
lu (-179),2019-11-17 18:27:08,callate
jose rafael chirinos,2019-11-17 18:26:41,cool man !!!!
ceci,2019-11-17 18:26:40,LMFAO
majopidul 🌞,2019-11-17 18:26:38,Oh wou
Iván Glz.,2019-11-17 18:26:28,Excelente Drake!! 
ChocolateCrazy03,2019-11-17 18:26:19,*Joshpic.twitter.com/mjbcM58rzL
Jahel Gonzalez,2019-11-17 18:26:03,Don’t suck you believed it !!
Goretti,2019-11-17 18:25:54,Strategies of marketing
Roge. Así nomás,2019-11-17 18:25:26,America its all the continent
luna,2019-11-17 18:25:19,i give drake bell the mexican pass https://twitter.com/drakebell/status/1196083107671068672 …
David Rangel,2019-11-17 18:24:47,Crack
JOSH BOBBYS,2019-11-17 18:24:23,Crack
Mayte Isais,2019-11-17 18:24:18,I love you
YessicaB.30🦊,2019-11-17 18:23:33,Traductor Google nena
⚜️Luz y Libertad América del Sur,2019-11-17 18:23:16," HELLO  
#IFB  #IFOLLOWBACK
#SDV #SIGODEVUELTA
#SiguemeYTeSigo 
I bless at who follow me!!! 3"
.,2019-11-17 18:23:05,TE AMO DRAKE BELL https://twitter.com/DrakeBell/status/1196083107671068672 …
Agustin Dettoni,2019-11-17 18:22:57,Hola Drake
Caballero De La Triste Figura,2019-11-17 18:22:56,@DrakeBell When do you come to Mexico to eat tacos my new Mexican brother???
alain,2019-11-17 18:22:24,Quien es Drake Bell?
훌리아나,2019-11-17 18:22:22,"North america is not a continent, neither a country because Canada and Mexico are part of north america too, it's not a political thing, it's just simply geography"
Andrea C,2019-11-17 18:22:15,Ohhhzy
Jorge Chavez,2019-11-17 18:22:12,"North America isn’t a continent, North America IS part of the AMERICA continent"
⚜️Luz y Libertad América del Sur,2019-11-17 18:21:32," HELLO  
#IFB  #IFOLLOWBACK
#SDV #SIGODEVUELTA
#SiguemeYTeSigo
I bless at who follow me!!! 2pic.twitter.com/ORXokLvKmT"
lily,2019-11-17 18:21:22,drake bell said fuck them gringos
Christian Tellez,2019-11-17 18:20:39,Say it Zticma ...
✨ʞuılq ʎddɐɥ ɐ ɐıuɐᴚ,2019-11-17 18:20:17,Drake bell para presidente https://twitter.com/DrakeBell/status/1196083107671068672 …
LUCH☃️🇵🇪,2019-11-17 18:20:11,CRAK
g,2019-11-17 18:19:17,"bc they have ALWAYS thought about themselves only, it's time they get their heads out of their asses and create a word or something lmao"
Simplemente JC,2019-11-17 18:17:41,"He understood that you said! So they replied correctly all the ""Americans"" well said Estadounidenses or people from USA should learn some Spanish  solo es un Consejo o Sugerencia, suggestion "
Anielka,2019-11-17 18:16:41,my cousin just said that drake bell talking in spanish sparks joy and other stuff
pomquin,2019-11-17 18:16:16,A perroo
mia. | OW3 IS COMING.,2019-11-17 18:15:29,ok but Drake told you should learn spanish 
Israel Och,2019-11-17 18:14:16,Crack
Simplemente JC,2019-11-17 18:14:03,You said it! I'm American too because I'm from Guatemala Central America 
Risu,2019-11-17 18:12:27,MOMENTO DOU
